Time Scale; Number of Packets; Total data (b); 
706.000000; 2651; 1988014; 
707.000000; 2434; 1829781; 
708.000000; 2929; 2199932; 
709.000000; 2708; 2027117; 
710.000000; 2701; 2027905; 
711.000000; 2035; 1521777; 
712.000000; 2803; 2106487; 
713.000000; 2703; 2027895; 
714.000000; 2429; 1820219; 
715.000000; 2069; 1550693; 
716.000000; 2888; 2158640; 
717.000000; 2925; 2192223; 
718.000000; 2039; 1514879; 
719.000000; 2062; 1547806; 
720.000000; 2215; 1645954; 
721.000000; 2072; 1556161; 
722.000000; 2219; 1654183; 
723.000000; 2067; 1557483; 
724.000000; 2909; 2174473; 
725.000000; 2007; 1499797; 
726.000000; 1874; 1406196; 
727.000000; 2827; 2120842; 
728.000000; 2230; 1682946; 
729.000000; 1972; 1470456; 
730.000000; 1861; 1405560; 
731.000000; 2288; 1707021; 
732.000000; 2500; 1874748; 
733.000000; 2853; 2144573; 
734.000000; 2161; 1615171; 
735.000000; 2846; 2136008; 
736.000000; 2209; 1640041; 
737.000000; 2274; 1705400; 
738.000000; 2555; 1927362; 
739.000000; 1818; 1364145; 
740.000000; 2124; 1592737; 
741.000000; 2999; 2244163; 
742.000000; 2426; 1815708; 
743.000000; 2012; 1502707; 
744.000000; 2845; 2130632; 
745.000000; 2280; 1704658; 
746.000000; 2332; 1746860; 
747.000000; 2074; 1556321; 
748.000000; 2487; 1870513; 
749.000000; 2562; 1924588; 
750.000000; 2749; 2058969; 
751.000000; 2954; 2216163; 
752.000000; 2340; 1744486; 
753.000000; 2401; 1801689; 
754.000000; 2510; 1883385; 
755.000000; 2320; 1740311; 
756.000000; 2681; 2006478; 
757.000000; 2561; 1925029; 
758.000000; 2467; 1845947; 
759.000000; 2022; 1517058; 
760.000000; 1891; 1424134; 
761.000000; 2124; 1602853; 
762.000000; 2423; 1821799; 
763.000000; 2812; 2113187; 
764.000000; 2345; 1753565; 
765.000000; 2942; 2190348; 
766.000000; 2048; 1524362; 
767.000000; 2066; 1542040; 
768.000000; 2625; 1963745; 
769.000000; 2667; 2004715; 
770.000000; 2445; 1828097; 
771.000000; 2037; 1529217; 
772.000000; 2437; 1831749; 
773.000000; 2965; 2222274; 
774.000000; 2514; 1886345; 
775.000000; 1982; 1491415; 
776.000000; 2828; 2108496; 
777.000000; 2786; 2072793; 
778.000000; 2650; 1986377; 
779.000000; 2631; 1970281; 
780.000000; 2741; 2058266; 
781.000000; 1823; 1366825; 
782.000000; 2846; 2125081; 
783.000000; 2428; 1820739; 
784.000000; 2655; 1996723; 
785.000000; 2134; 1605932; 
786.000000; 2910; 2183682; 
787.000000; 2939; 2204563; 
788.000000; 2502; 1861651; 
789.000000; 2641; 1973653; 
790.000000; 2731; 2045299; 
791.000000; 2045; 1531560; 
792.000000; 2779; 2091107; 
793.000000; 2878; 2159303; 
794.000000; 2300; 1719651; 
795.000000; 2334; 1740552; 
796.000000; 1910; 1426620; 
797.000000; 2050; 1537953; 
798.000000; 2586; 1928123; 
799.000000; 2443; 1834941; 
800.000000; 2759; 2057247; 
801.000000; 2846; 2130152; 
802.000000; 2015; 1511441; 
803.000000; 2783; 2083879; 
804.000000; 2066; 1534249; 
805.000000; 2208; 1663657; 
806.000000; 2357; 1764278; 
807.000000; 2542; 1906432; 
808.000000; 2405; 1787094; 
809.000000; 2380; 1791094; 
810.000000; 2633; 1977921; 
811.000000; 2679; 2010277; 
812.000000; 1811; 1357739; 
813.000000; 2197; 1652275; 
814.000000; 2789; 2096325; 
815.000000; 2062; 1548726; 
816.000000; 2040; 1542544; 
817.000000; 2193; 1648318; 
818.000000; 2683; 2018926; 
819.000000; 2263; 1693012; 
820.000000; 2898; 2167813; 
821.000000; 2678; 2010032; 
822.000000; 2723; 2046539; 
823.000000; 2727; 2033113; 
824.000000; 1946; 1449353; 
825.000000; 2010; 1519443; 
826.000000; 2371; 1772454; 
827.000000; 1873; 1409519; 
828.000000; 2270; 1710515; 
829.000000; 2192; 1650580; 
830.000000; 1878; 1413600; 
831.000000; 2432; 1839536; 
832.000000; 2271; 1694057; 
833.000000; 2366; 1768564; 
834.000000; 2525; 1883935; 
835.000000; 2730; 2039055; 
836.000000; 2483; 1860703; 
837.000000; 2648; 1975212; 
838.000000; 2463; 1837929; 
839.000000; 2930; 2194816; 
840.000000; 2215; 1653502; 
841.000000; 2614; 1957087; 
842.000000; 1814; 1369861; 
843.000000; 2151; 1613877; 
844.000000; 2146; 1609625; 
845.000000; 1870; 1403948; 
846.000000; 2300; 1733346; 
847.000000; 2155; 1599852; 
848.000000; 2235; 1671949; 
849.000000; 2264; 1700543; 
850.000000; 2675; 2009592; 
851.000000; 1848; 1392200; 
852.000000; 2546; 1900175; 
853.000000; 2998; 2249617; 
854.000000; 1869; 1397153; 
855.000000; 2004; 1496311; 
856.000000; 2421; 1816869; 
857.000000; 2560; 1921537; 
858.000000; 1949; 1473885; 
859.000000; 2634; 1966311; 
860.000000; 2063; 1535584; 
861.000000; 2548; 1906938; 
862.000000; 2272; 1712448; 
863.000000; 2877; 2156802; 
864.000000; 2563; 1921614; 
865.000000; 2623; 1968802; 
866.000000; 2633; 1976217; 
867.000000; 2459; 1842809; 
868.000000; 2927; 2193329; 
869.000000; 2882; 2163403; 
